@lat	@lon	brand	name
37.3895142	-5.9739390	Maxi Dia	Mercadona
37.4068889	-5.9724546	Dia	Dia
37.3492941	-5.9768997	Mercadona	Mercadona
37.3968266	-5.9906521	Maxi Dia	Maxi Dia
37.3928300	-5.9835362	Dia Market	Dia Market
37.4001818	-5.9854720	Dia Market	Dia Market
37.3876429	-5.9816890	Dia	Dia
37.3784637	-6.0119015	Dia Market	Dia Market
37.3993597	-5.9779561	Mercadona	Mercadona
37.3650152	-5.9790562	Mercadona	Mercadona
37.3941226	-5.9572429	Maxi Dia	Maxi Dia
37.3746749	-5.9677669	Maxi Dia	Maxi Dia
37.4004138	-5.9252130	Mercadona	Mercadona
37.4022714	-5.9268237	Dia	Dia
37.3750846	-5.9538345	Dia	Dia
37.4114331	-5.9196442	Mercadona	Mercadona
37.3716058	-5.9566624	Dia	Dia
37.3902190	-5.9894762	Dia	Dia
37.3946680	-5.9974030	Dia	Dia
37.3828833	-5.9536265	Dia	
37.3774228	-5.9472911	Dia	Dia
37.3542265	-5.8580908	Mercadona	Mercadona
37.3511902	-6.0250197	Mercadona	Mercadona
37.3720492	-5.9620406	Mercadona	Mercadona
37.3846396	-6.0103841	Dia	Dia
37.3845658	-6.0134182	Dia	Dia
37.3858830	-6.0274989	Maxi Dia	Maxi Dia
37.3726194	-5.9969106	Dia	Dia
37.3905812	-5.9799490	Mercadona	
37.3798531	-5.9996860	Mercadona	Mercadona
37.3828993	-5.9745421	Dia	Dia
37.3800582	-5.9795246	Dia	Dia
37.3708759	-5.9769946	Dia	Dia
37.4065108	-5.9897152	Mercadona	Mercadona
37.3886902	-6.0084614	Dia	Dia
37.3777005	-5.9984998	Dia	Dia
37.3709124	-5.9507914	Dia Market	Dia Market
37.4186604	-5.9743220	Carrefour	Carrefour
37.3776589	-5.9400413	Dia	Dia
37.4022297	-5.9775511	Dia	Dia
37.3863398	-6.0079746	Carrefour	Carrefour Expres
37.3441038	-5.9893559	Mercadona	Mercadona
37.3768372	-5.9740448	Dia	Dia
37.3827930	-6.0034225	Dia	Dia
37.3857283	-5.9509205	Dia	Dia
37.3817099	-5.9950427	Dia	Dia
37.3913028	-6.0096021	Dia	Dia
37.4250416	-5.9700125	Dia	Dia
37.4073368	-5.9393416	Carrefour	Carrefour
37.4028101	-5.9907610	Dia	Dia
37.4089841	-5.9414492	Mercadona	Mercadona
37.3534527	-5.9527347	Carrefour	Carrefour
37.4047137	-5.9579736	Mercadona	
37.3880197	-5.9149301	Dia	Dia
37.3863858	-5.9105865	Dia	Dia
37.3840767	-5.9029453	Dia	Dia
37.4150550	-5.9732224	Mercadona	Mercadona
37.3398368	-5.9382061	Maxi Dia	Maxi Dia
37.3783088	-5.9458226	Mercadona	Mercadona
37.3621256	-5.9571534	Mercadona	Mercadona
37.4062409	-5.9339574	Mercadona	Mercadona
37.3928305	-6.0030487	Mercadona	Mercadona
37.3745643	-5.9177240	Mercadona	Mercadona
37.4306725	-5.9710796	Mercadona	Mercadona
37.4266406	-5.9766103	Mercadona	Mercadona